COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
AAEC2580,Applied Microeconomic Principles,61007,Gregory Colson,TR,1110-1225,Conner Hall,104,17
AAEC3020,Analytical and Computational Tools for Applied Economics,61009,Shanjukta Nath,TR,1555-1710,Conner Hall,212,22
AAEC3020,Analytical and Computational Tools for Applied Economics,61635,Shanjukta Nath,TR,1555-1710,Griffin Slc,107,10
AAEC3020,Analytical and Computational Tools for Applied Economics,61642,Shanjukta Nath,TR,1555-1710,H. H. Tift Bldg,102,9
AAEC3100,Food and Fiber Marketing,61010,Vanessa Shonkwiler,MWF,0800-0850,Conner Hall,210,30
AAEC3100,Food and Fiber Marketing,61011,Vanessa Shonkwiler,MWF,0800-0850,Griffin Slc,107,10
AAEC3100,Food and Fiber Marketing,61012,Vanessa Shonkwiler,MWF,0800-0850,H. H. Tift Bldg,102,8
AAEC3200,Selling in Agribusiness,61013,Benjamin Campbell,TR,0935-1050,Conner Hall,104,0
AAEC3200,Selling in Agribusiness,61014,Benjamin Campbell,TR,0935-1050,H. H. Tift Bldg,102,7
AAEC3200,Selling in Agribusiness,61015,Benjamin Campbell,TR,0935-1050,Griffin Slc,107,10
AAEC3580,Intermediate Economic Principles,61016,Hongyi Yuan,MWF,1020-1110,Conner Hall,210,28
AAEC3580,Intermediate Economic Principles,61640,Hongyi Yuan,MWF,1020-1110,H. H. Tift Bldg,102,10
AAEC3580L,Intermediate Economic Principles,27061,Hongyi Yuan,MW,1130-1220,Conner Hall,210,28
AAEC3580L,Intermediate Economic Principles,61641,Hongyi Yuan,MW,1130-1220,H. H. Tift Bldg,102,10
AAEC3600,Economics of Food Policy,61017,Travis Smith,TR,1245-1400,Conner Hall,104,20
AAEC3600,Economics of Food Policy,61018,Travis Smith,TR,1245-1400,Griffin Slc,111,10
AAEC3600,Economics of Food Policy,61019,Travis Smith,TR,1245-1400,NESPAL South,534,7
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,TR,1420-1535,Conner Hall,212,12
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,W,1240-1330,Conner Hall,204,12
AAEC3690,Agribusiness Finance,26626,Michael Adjemian,W,1240-1330,Conner Hall,202,12
AAEC3910,Internships,32537,Gregory Colson,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC3910,Internships,51811,Amanda Smith,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC4040,Applied Statistics for Business Decisions,26845,Nicholas Bradley,M,1500-1550,Conner Hall,210,1
AAEC4040,Applied Statistics for Business Decisions,26845,Nicholas Bradley,MW,1350-1440,Conner Hall,210,1
AAEC4040,Applied Statistics for Business Decisions,27158,Nicholas Bradley,MW,1350-1440,Nespal,601,4
AAEC4040,Applied Statistics for Business Decisions,27158,Nicholas Bradley,M,1500-1550,Nespal,601,4
AAEC4040,Applied Statistics for Business Decisions,53544,Nicholas Bradley,M,1500-1550,Griffin Slc,107,5
AAEC4040,Applied Statistics for Business Decisions,53544,Nicholas Bradley,MW,1350-1440,Griffin Slc,107,5
AAEC4040L,Applied Statistics for Business Decisions,27159,Nicholas Bradley,W,1500-1550,Conner Hall,202,1
AAEC4040L,Applied Statistics for Business Decisions,39957,Nicholas Bradley,W,1500-1550,Griffin Slc,107,5
AAEC4040L,Applied Statistics for Business Decisions,53547,Nicholas Bradley,W,1500-1550,Nespal,601,4
AAEC4150,Energy Economics,37078,Jeffrey Mullen,TR,0935-1050,Conner Hall,210,8
AAEC4150,Energy Economics,44372,Jeffrey Mullen,TR,0935-1050,Griffin Slc,111,3
AAEC4150,Energy Economics,44373,Jeffrey Mullen,TR,0935-1050,NESPAL South,534,5
AAEC4610,Applied Econometrics,26854,Chen Zhen,TR,1110-1225,Conner Hall,212,3
AAEC4610L,Applied Econometrics,27064,Chen Zhen,T,1245-1400,Conner Hall,204,3
AAEC4710,Rural Economic Development and Growth,53239,Sharon Kane,MWF,0910-1000,Conner Hall,104,43
AAEC4710,Rural Economic Development and Growth,53557,Sharon Kane,MWF,0910-1000,Griffin Slc,107,9
AAEC4710,Rural Economic Development and Growth,53558,Sharon Kane,MWF,0910-1000,H. H. Tift Bldg,102,9
AAEC4730,The World Food Economy,44369,Ellen McCullough,TR,1110-1225,Conner Hall,210,24
AAEC4730,The World Food Economy,44371,Ellen McCullough,TR,1110-1225,H. H. Tift Bldg,102,9
AAEC4870,Futures and Option Markets,27056,Berna Karali,TR,1420-1535,Conner Hall,210,58
AAEC4870,Futures and Option Markets,44377,Berna Karali,TR,1420-1535,H. H. Tift Bldg,102,10
AAEC4870,Futures and Option Markets,62238,Berna Karali,TR,1420-1535,Griffin Slc,107,10
AAEC4930,Environmental Law and Governmental Regulation,68565,Catherine Clutter,TR,1420-1535,Geography Geology,0200B,0
AAEC4960R,Faculty-Mentored Undergraduate Research I,69447,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,0
AAEC4980,Agribusiness Management,26614,Benjamin Campbell,TR,1245-1400,Conner Hall,210,35
AAEC4980,Agribusiness Management,27152,Benjamin Campbell,TR,1245-1400,H. H. Tift Bldg,102,9
AAEC4980,Agribusiness Management,53545,Benjamin Campbell,TR,1245-1400,Griffin Slc,107,10
AAEC4990,Special Topics in Agricultural and Applied Economics,68161,Daniel Remar,MWF,1500-1550,Building 1013,136,16
AAEC4990,Special Topics in Agricultural and Applied Economics,69241,Amanda Smith,No days set,0001-2359,No Classroom Required,NCRR,9
AAEC6570,Economic Tools for Business Decisions,35878,Michael Adjemian,TR,1245-1400,Conner Hall,310,16
AAEC6590,Microeconomics: Theory with Applications II,26841,Gregory Colson,F,1420-1535,Conner Hall,210,21
AAEC6590,Microeconomics: Theory with Applications II,26841,Gregory Colson,TR,1245-1400,Conner Hall,212,21
AAEC6620,Applied Econometrics,26837,Berna Karali,R,1055-1230,Conner Hall,202,9
AAEC6620,Applied Econometrics,26837,Berna Karali,TR,0935-1050,Conner Hall,212,9
AAEC6710,Rural Economic Development and Growth,53548,Sharon Kane,MWF,0910-1000,Conner Hall,104,89
AAEC6870,Futures and Option Markets,31764,Berna Karali,TR,1420-1535,Conner Hall,210,7
AAEC6930,Environmental Law and Governmental Regulation,68566,Catherine Clutter,TR,1420-1535,Geography Geology,0200B,0
AAEC6980,Advanced Agribusiness Management,27059,Cesar Escalante,TR,1110-1225,Conner Hall,310,15
AAEC7000,Master's Research,32163,Berna Karali,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,32166,Cesar Escalante,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC7000,Master's Research,32168,Chen Zhen,No days set,0001-2359,No Classroom Required,NCRR,5
AAEC7000,Master's Research,32169,Craig Landry,No days set,0001-2359,No Classroom Required,NCRR,2
AAEC7000,Master's Research,32170,Daniel Remar,No days set,0001-2359,No Classroom Required,NCRR,4
AAEC7000,Master's Research,32172,Ellen McCullough,No days set,0001-2359,No Classroom Required,NCRR,5
